"zkrBudovy";"cisloMistnosti";"katedra";"pracoviste";"typCiselne";"typ";"kapacita";"spolecnyFond";"provozOd";"provozDo";"poznamka";"plocha";"vyskaMistnosti";"dvereCislo";"podlazi";"obec";"ulice";"cisloPopisne";"adresaBudovy";"serial";"urlMistnost";"urlBudova";"identifikatorMistnost";"identifikatorBudova"
"KN";"KGECO";"FZS";"Fakulta zdravotnických studií";"8";"Jiná";"35";"ne";"1.1.1990";"";"";"";"";"";"0";"Pardubice";"Kyjevská";" 44";"Kyjevská,44, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=KN";"";""
"KN";"KCHIS";"FZS";"Fakulta zdravotnických studií";"7";"Studovna";"20";"ne";"1.1.1990";"";"";"";"";"";"0";"Pardubice";"Kyjevská";" 44";"Kyjevská,44, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=KN";"";""
"KN";"KCHKS";"FZS";"Fakulta zdravotnických studií";"7";"Studovna";"40";"ne";"1.1.1990";"";"";"";"";"";"0";"Pardubice";"Kyjevská";" 44";"Kyjevská,44, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=KN";"";""
"KN";"KCHIO";"FZS";"Fakulta zdravotnických studií";"8";"Jiná";"35";"ne";"1.1.1990";"";"";"";"";"";"0";"Pardubice";"Kyjevská";" 44";"Kyjevská,44, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=KN";"";""
"KN";"KINTS";"FZS";"Fakulta zdravotnických studií";"7";"Studovna";"20";"ne";"1.1.1990";"";"";"";"";"";"0";"Pardubice";"Kyjevská";" 44";"Kyjevská,44, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=KN";"";""
"KN";"KINTO";"FZS";"Fakulta zdravotnických studií";"8";"Jiná";"35";"ne";"1.1.1990";"";"";"";"";"";"0";"Pardubice";"Kyjevská";" 44";"Kyjevská,44, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=KN";"";""
"R";"ZR";"REK";"Univerzita Pardubice";"8";"Jiná";"1";"ne";"1.1.1990";"";"";"85.0";"";"";"3";"Pardubice";"Studentská";" 95";"Studentská,95, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=R";"031003023";""
"KN";"KKARS";"FZS";"Fakulta zdravotnických studií";"7";"Studovna";"35";"ne";"1.1.1990";"";"";"";"";"";"0";"Pardubice";"Kyjevská";" 44";"Kyjevská,44, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=KN";"";""
"CA";"ZV";"FEI";"Fakulta elektrotechniky a informatiky";"8";"Jiná";"38";"ne";"1.1.1990";"";"místnost è.: 02009";"108.0";"";"";"2";"Pardubice";"nám. Ès. legií";" 565";"nám. Ès. legií,565, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=CA";"010202009";""
"UK";"PU";"REK";"Univerzita Pardubice";"3";"Uèebna poèítaèová";"15";"ne";"1.1.1990";"";"";"41.0";"";"";"0";"Pardubice";"Studentská";" 519";"Studentská,519, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=UK";"032801017";""
"KN";"KKARO";"FZS";"Fakulta zdravotnických studií";"8";"Jiná";"35";"ne";"1.1.1990";"";"";"";"";"";"0";"Pardubice";"Kyjevská";" 44";"Kyjevská,44, Pardubice";"";"";"http://verso.upce.cz/fcgi/verso.fpl?fname=map_mapy&hbudova=KN";"";""
